u_s_exports_and_imports_of_selected_fertilizers_year,u_s_exports_and_imports_of_selected_fertilizers_country,u_s_exports_and_imports_of_selected_fertilizers_commodity,u_s_exports_short_tons,u_s_exports_dollars,u_s_imports_short_tons,u_s_imports_dollars
2012,World total,Total,10783383.128299987,4524425576,35552394.818299845,12971781552
2012,World total,Ammonium Nitrate (Solid),369361.9909,107094247,938283.2715,251160833
2012,World total,Ammonium Sulfate,1428243.4962000002,361485882,274619.3059,72519921
2012,World total,Anhydrous Ammonia,41503.79960000001,21683794,6938743.7101,3593224143
2012,World total,Aqua Ammonia,6548.764300000002,4033848,96517.388,14936072
2012,World total,Calcium Cyanamide,,,,
2012,World total,Calcium Nitrate,,,42493.66500000001,4785433
2012,World total,Chemical Mixtures,476065.73320000066,259592057,218462.63240000006,121785817
2012,World total,Concentrated Super,91.4909,358240,230239.6056,98343771
2012,World total,Diammonium Phosphate (DAP),3997434.7327000005,1738700734,101105.16060000003,48837281
2012,World total,Monammonium Phosphate (MAP),2653544.744000002,1276755340,546706.6286999995,282340085
2012,World total,Nitrogen Solutions,157721.4932,42504849,3286246.2049000007,877224364
2012,World total,Normal Super,16204.912300000002,10527099,1595.0281000000004,328557
2012,World total,Other Nitrogen Fertilizers,29576.913600000003,11222401,462435.7937000002,72941441
2012,World total,Other Phosphate Fertilizers,,,,
2012,World total,Other Potassium Fertilizers,,,,
2012,World total,Phosphate Rock,42240.136000000006,1382790,2819510.3389000013,368608270
2012,World total,"Phosphoric Acid, Superphosphoric",58781.2498,46656429,5526.9322,2532906
2012,World total,"Phosphoric Acid, Wet Process",868524.2159999999,312708478,2253.1012,534045
2012,World total,Potassium Muriate,173378.5624,76305026,9215293.0357,3474511463
2012,World total,Potassium Nitrate,17356.8158,11424279,175415.6128,119776444
2012,World total,Potassium Sulfate,72420.0077,30052312,118081.6829,55106650
2012,World total,Potassium-Sodium Nitrate,,,583.1167,263409
2012,World total,Sodium Nitrate,3690.5004000000004,2825331,164132.47,67228136
2012,World total,Sulfur,,,2259686.3401999995,234183653
2012,World total,Urea (Solid),370693.56930000003,209112440,7654463.7932,3210608858
2012,Afghanistan,Total,2.2046,24132,,
2012,Afghanistan,Ammonium Nitrate (Solid),,,,
2012,Afghanistan,Ammonium Sulfate,,,,
2012,Afghanistan,Anhydrous Ammonia,,,,
2012,Afghanistan,Aqua Ammonia,,,,
2012,Afghanistan,Calcium Cyanamide,,,,
2012,Afghanistan,Calcium Nitrate,,,,
2012,Afghanistan,Chemical Mixtures,,,,
2012,Afghanistan,Concentrated Super,,,,
2012,Afghanistan,Diammonium Phosphate (DAP),,,,
2012,Afghanistan,Monammonium Phosphate (MAP),,,,
2012,Afghanistan,Nitrogen Solutions,,,,
2012,Afghanistan,Normal Super,,,,
2012,Afghanistan,Other Nitrogen Fertilizers,,,,
2012,Afghanistan,Other Phosphate Fertilizers,,,,
2012,Afghanistan,Other Potassium Fertilizers,,,,
2012,Afghanistan,Phosphate Rock,,,,
2012,Afghanistan,"Phosphoric Acid, Superphosphoric",,,,
2012,Afghanistan,"Phosphoric Acid, Wet Process",,,,
2012,Afghanistan,Potassium Muriate,1.1023,15400,,
2012,Afghanistan,Potassium Nitrate,,,,
2012,Afghanistan,Potassium Sulfate,,,,
2012,Afghanistan,Potassium-Sodium Nitrate,,,,
2012,Afghanistan,Sodium Nitrate,1.1023,8732,,
2012,Afghanistan,Sulfur,,,,
2012,Afghanistan,Urea (Solid),,,,
2012,Albania,Total,,,,
2012,Albania,Ammonium Nitrate (Solid),,,,
2012,Albania,Ammonium Sulfate,,,,
2012,Albania,Anhydrous Ammonia,,,,
2012,Albania,Aqua Ammonia,,,,
2012,Albania,Calcium Cyanamide,,,,
2012,Albania,Calcium Nitrate,,,,
2012,Albania,Chemical Mixtures,,,,
2012,Albania,Concentrated Super,,,,
2012,Albania,Diammonium Phosphate (DAP),,,,
2012,Albania,Monammonium Phosphate (MAP),,,,
2012,Albania,Nitrogen Solutions,,,,
2012,Albania,Normal Super,,,,
2012,Albania,Other Nitrogen Fertilizers,,,,
2012,Albania,Other Phosphate Fertilizers,,,,
2012,Albania,Other Potassium Fertilizers,,,,
2012,Albania,Phosphate Rock,,,,
2012,Albania,"Phosphoric Acid, Superphosphoric",,,,
2012,Albania,"Phosphoric Acid, Wet Process",,,,
2012,Albania,Potassium Muriate,,,,
2012,Albania,Potassium Nitrate,,,,
2012,Albania,Potassium Sulfate,,,,
2012,Albania,Potassium-Sodium Nitrate,,,,
2012,Albania,Sodium Nitrate,,,,
2012,Albania,Sulfur,,,,
2012,Albania,Urea (Solid),,,,
2012,Algeria,Total,,,,
2012,Algeria,Ammonium Nitrate (Solid),,,,
2012,Algeria,Ammonium Sulfate,,,,
2012,Algeria,Anhydrous Ammonia,,,,
2012,Algeria,Aqua Ammonia,,,,
2012,Algeria,Calcium Cyanamide,,,,
2012,Algeria,Calcium Nitrate,,,,
2012,Algeria,Chemical Mixtures,,,,
2012,Algeria,Concentrated Super,,,,
2012,Algeria,Diammonium Phosphate (DAP),,,,
2012,Algeria,Monammonium Phosphate (MAP),,,,
2012,Algeria,Nitrogen Solutions,,,,
2012,Algeria,Normal Super,,,,
2012,Algeria,Other Nitrogen Fertilizers,,,,
2012,Algeria,Other Phosphate Fertilizers,,,,
2012,Algeria,Other Potassium Fertilizers,,,,
2012,Algeria,Phosphate Rock,,,,
2012,Algeria,"Phosphoric Acid, Superphosphoric",,,,
2012,Algeria,"Phosphoric Acid, Wet Process",,,,
2012,Algeria,Potassium Muriate,,,,
2012,Algeria,Potassium Nitrate,,,,
2012,Algeria,Potassium Sulfate,,,,
2012,Algeria,Potassium-Sodium Nitrate,,,,
2012,Algeria,Sodium Nitrate,,,,
2012,Algeria,Sulfur,,,,
2012,Algeria,Urea (Solid),,,,
2012,Andorra,Total,,,,
2012,Andorra,Ammonium Nitrate (Solid),,,,
2012,Andorra,Ammonium Sulfate,,,,
2012,Andorra,Anhydrous Ammonia,,,,
2012,Andorra,Aqua Ammonia,,,,
2012,Andorra,Calcium Cyanamide,,,,
2012,Andorra,Calcium Nitrate,,,,
2012,Andorra,Chemical Mixtures,,,,
2012,Andorra,Concentrated Super,,,,
2012,Andorra,Diammonium Phosphate (DAP),,,,
2012,Andorra,Monammonium Phosphate (MAP),,,,
2012,Andorra,Nitrogen Solutions,,,,
2012,Andorra,Normal Super,,,,
2012,Andorra,Other Nitrogen Fertilizers,,,,
2012,Andorra,Other Phosphate Fertilizers,,,,
2012,Andorra,Other Potassium Fertilizers,,,,
2012,Andorra,Phosphate Rock,,,,
2012,Andorra,"Phosphoric Acid, Superphosphoric",,,,
2012,Andorra,"Phosphoric Acid, Wet Process",,,,
2012,Andorra,Potassium Muriate,,,,
2012,Andorra,Potassium Nitrate,,,,
2012,Andorra,Potassium Sulfate,,,,
2012,Andorra,Potassium-Sodium Nitrate,,,,
2012,Andorra,Sodium Nitrate,,,,
2012,Andorra,Sulfur,,,,
2012,Andorra,Urea (Solid),,,,
2012,Angola,Total,236.99450000000004,77873,,
2012,Angola,Ammonium Nitrate (Solid),,,,
2012,Angola,Ammonium Sulfate,,,,
2012,Angola,Anhydrous Ammonia,,,,
2012,Angola,Aqua Ammonia,,,,
2012,Angola,Calcium Cyanamide,,,,
2012,Angola,Calcium Nitrate,,,,
2012,Angola,Chemical Mixtures,,,,
2012,Angola,Concentrated Super,,,,
2012,Angola,Diammonium Phosphate (DAP),,,,
2012,Angola,Monammonium Phosphate (MAP),,,,
2012,Angola,Nitrogen Solutions,,,,
2012,Angola,Normal Super,,,,
2012,Angola,Other Nitrogen Fertilizers,,,,
2012,Angola,Other Phosphate Fertilizers,,,,
2012,Angola,Other Potassium Fertilizers,,,,
2012,Angola,Phosphate Rock,,,,
2012,Angola,"Phosphoric Acid, Superphosphoric",12.1253,17848,,
2012,Angola,"Phosphoric Acid, Wet Process",224.86920000000003,60025,,
2012,Angola,Potassium Muriate,,,,
2012,Angola,Potassium Nitrate,,,,
2012,Angola,Potassium Sulfate,,,,
2012,Angola,Potassium-Sodium Nitrate,,,,
2012,Angola,Sodium Nitrate,,,,
2012,Angola,Sulfur,,,,
2012,Angola,Urea (Solid),,,,
2012,Anguilla,Total,,,,
2012,Anguilla,Ammonium Nitrate (Solid),,,,
2012,Anguilla,Ammonium Sulfate,,,,
2012,Anguilla,Anhydrous Ammonia,,,,
2012,Anguilla,Aqua Ammonia,,,,
2012,Anguilla,Calcium Cyanamide,,,,
2012,Anguilla,Calcium Nitrate,,,,
2012,Anguilla,Chemical Mixtures,,,,
2012,Anguilla,Concentrated Super,,,,
2012,Anguilla,Diammonium Phosphate (DAP),,,,
2012,Anguilla,Monammonium Phosphate (MAP),,,,
2012,Anguilla,Nitrogen Solutions,,,,
2012,Anguilla,Normal Super,,,,
2012,Anguilla,Other Nitrogen Fertilizers,,,,
2012,Anguilla,Other Phosphate Fertilizers,,,,
2012,Anguilla,Other Potassium Fertilizers,,,,
2012,Anguilla,Phosphate Rock,,,,
2012,Anguilla,"Phosphoric Acid, Superphosphoric",,,,
2012,Anguilla,"Phosphoric Acid, Wet Process",,,,
2012,Anguilla,Potassium Muriate,,,,
2012,Anguilla,Potassium Nitrate,,,,
2012,Anguilla,Potassium Sulfate,,,,
2012,Anguilla,Potassium-Sodium Nitrate,,,,
2012,Anguilla,Sodium Nitrate,,,,
2012,Anguilla,Sulfur,,,,
2012,Anguilla,Urea (Solid),,,,
2012,Antigua & Barbuda,Total,144.4013,36137,,
2012,Antigua & Barbuda,Ammonium Nitrate (Solid),,,,
2012,Antigua & Barbuda,Ammonium Sulfate,,,,
2012,Antigua & Barbuda,Anhydrous Ammonia,,,,
2012,Antigua & Barbuda,Aqua Ammonia,3.3069,2510,,
2012,Antigua & Barbuda,Calcium Cyanamide,,,,
2012,Antigua & Barbuda,Calcium Nitrate,,,,
2012,Antigua & Barbuda,Chemical Mixtures,20.9437,13964,,
2012,Antigua & Barbuda,Concentrated Super,,,,
2012,Antigua & Barbuda,Diammonium Phosphate (DAP),120.1507,19663,,
2012,Antigua & Barbuda,Monammonium Phosphate (MAP),,,,
2012,Antigua & Barbuda,Nitrogen Solutions,,,,
2012,Antigua & Barbuda,Normal Super,,,,
2012,Antigua & Barbuda,Other Nitrogen Fertilizers,,,,
2012,Antigua & Barbuda,Other Phosphate Fertilizers,,,,
2012,Antigua & Barbuda,Other Potassium Fertilizers,,,,
2012,Antigua & Barbuda,Phosphate Rock,,,,
2012,Antigua & Barbuda,"Phosphoric Acid, Superphosphoric",,,,
2012,Antigua & Barbuda,"Phosphoric Acid, Wet Process",,,,
2012,Antigua & Barbuda,Potassium Muriate,,,,
2012,Antigua & Barbuda,Potassium Nitrate,,,,
2012,Antigua & Barbuda,Potassium Sulfate,,,,
2012,Antigua & Barbuda,Potassium-Sodium Nitrate,,,,
2012,Antigua & Barbuda,Sodium Nitrate,,,,
2012,Antigua & Barbuda,Sulfur,,,,
2012,Antigua & Barbuda,Urea (Solid),,,,
2012,Argentina,Total,547077.0014999999,247486481,,
2012,Argentina,Ammonium Nitrate (Solid),,,,
2012,Argentina,Ammonium Sulfate,6203.7444000000005,1874142,,
2012,Argentina,Anhydrous Ammonia,,,,
2012,Argentina,Aqua Ammonia,,,,
2012,Argentina,Calcium Cyanamide,,,,
2012,Argentina,Calcium Nitrate,,,,
2012,Argentina,Chemical Mixtures,26543.384000000002,12331439,,
2012,Argentina,Concentrated Super,,,,
2012,Argentina,Diammonium Phosphate (DAP),197200.36769999997,91981431,,
2012,Argentina,Monammonium Phosphate (MAP),269674.38810000004,122725034,,
2012,Argentina,Nitrogen Solutions,20045.325500000003,5219825,,
2012,Argentina,Normal Super,,,,
2012,Argentina,Other Nitrogen Fertilizers,,,,
2012,Argentina,Other Phosphate Fertilizers,,,,
2012,Argentina,Other Potassium Fertilizers,,,,
2012,Argentina,Phosphate Rock,,,,
2012,Argentina,"Phosphoric Acid, Superphosphoric",,,,
2012,Argentina,"Phosphoric Acid, Wet Process",27404.280300000002,13341847,,
2012,Argentina,Potassium Muriate,5.5115,12763,,
2012,Argentina,Potassium Nitrate,,,,
2012,Argentina,Potassium Sulfate,,,,
2012,Argentina,Potassium-Sodium Nitrate,,,,
2012,Argentina,Sodium Nitrate,,,,
2012,Argentina,Sulfur,,,,
2012,Argentina,Urea (Solid),,,,
2012,Aruba,Total,12.125300000000001,10007,,
2012,Aruba,Ammonium Nitrate (Solid),,,,
2012,Aruba,Ammonium Sulfate,,,,
2012,Aruba,Anhydrous Ammonia,,,,
2012,Aruba,Aqua Ammonia,7.716100000000001,4130,,
2012,Aruba,Calcium Cyanamide,,,,
2012,Aruba,Calcium Nitrate,,,,
2012,Aruba,Chemical Mixtures,4.4092,5877,,
2012,Aruba,Concentrated Super,,,,
2012,Aruba,Diammonium Phosphate (DAP),,,,
2012,Aruba,Monammonium Phosphate (MAP),,,,
2012,Aruba,Nitrogen Solutions,,,,
2012,Aruba,Normal Super,,,,
2012,Aruba,Other Nitrogen Fertilizers,,,,
2012,Aruba,Other Phosphate Fertilizers,,,,
2012,Aruba,Other Potassium Fertilizers,,,,
2012,Aruba,Phosphate Rock,,,,
2012,Aruba,"Phosphoric Acid, Superphosphoric",,,,
2012,Aruba,"Phosphoric Acid, Wet Process",,,,
2012,Aruba,Potassium Muriate,,,,
2012,Aruba,Potassium Nitrate,,,,
2012,Aruba,Potassium Sulfate,,,,
2012,Aruba,Potassium-Sodium Nitrate,,,,
2012,Aruba,Sodium Nitrate,,,,
2012,Aruba,Sulfur,,,,
2012,Aruba,Urea (Solid),,,,
2012,Australia (No Islands),Total,611677.2930000003,285233267,5066.1708,1618369
2012,Australia (No Islands),Ammonium Nitrate (Solid),,,,
2012,Australia (No Islands),Ammonium Sulfate,12145.1414,3415626,2.2046,6976
2012,Australia (No Islands),Anhydrous Ammonia,4.4092,5612,,
2012,Australia (No Islands),Aqua Ammonia,177.4703,37026,,
2012,Australia (No Islands),Calcium Cyanamide,,,,
2012,Australia (No Islands),Calcium Nitrate,,,7.716100000000001,5236
2012,Australia (No Islands),Chemical Mixtures,50205.35579999999,27136881,5006.646599999999,1590945
2012,Australia (No Islands),Concentrated Super,,,,
2012,Australia (No Islands),Diammonium Phosphate (DAP),162160.4553,78205195,,
2012,Australia (No Islands),Monammonium Phosphate (MAP),375178.82800000004,175612566,46.296600000000005,11500
2012,Australia (No Islands),Nitrogen Solutions,,,,
2012,Australia (No Islands),Normal Super,,,,
2012,Australia (No Islands),Other Nitrogen Fertilizers,1.1023,9540,,
2012,Australia (No Islands),Other Phosphate Fertilizers,,,,
2012,Australia (No Islands),Other Potassium Fertilizers,,,,
2012,Australia (No Islands),Phosphate Rock,5471.8172,135087,,
2012,Australia (No Islands),"Phosphoric Acid, Superphosphoric",7.716100000000001,20915,,
2012,Australia (No Islands),"Phosphoric Acid, Wet Process",,,,
2012,Australia (No Islands),Potassium Muriate,19.8414,47362,,
2012,Australia (No Islands),Potassium Nitrate,,,,
2012,Australia (No Islands),Potassium Sulfate,6084.696,380256,3.3069,3712
2012,Australia (No Islands),Potassium-Sodium Nitrate,,,,
2012,Australia (No Islands),Sodium Nitrate,,,,
2012,Australia (No Islands),Sulfur,,,,
2012,Australia (No Islands),Urea (Solid),220.46,227201,,
2012,Austria,Total,1211.4277000000004,665008,1.1023,4060
2012,Austria,Ammonium Nitrate (Solid),,,,
2012,Austria,Ammonium Sulfate,,,,
2012,Austria,Anhydrous Ammonia,38.5805,25852,,
2012,Austria,Aqua Ammonia,,,,
2012,Austria,Calcium Cyanamide,,,,
2012,Austria,Calcium Nitrate,,,,
2012,Austria,Chemical Mixtures,1170.6426000000001,632273,1.1023,4060
2012,Austria,Concentrated Super,,,,
2012,Austria,Diammonium Phosphate (DAP),,,,
2012,Austria,Monammonium Phosphate (MAP),,,,
2012,Austria,Nitrogen Solutions,,,,
2012,Austria,Normal Super,,,,
2012,Austria,Other Nitrogen Fertilizers,,,,
2012,Austria,Other Phosphate Fertilizers,,,,
2012,Austria,Other Potassium Fertilizers,,,,
2012,Austria,Phosphate Rock,,,,
2012,Austria,"Phosphoric Acid, Superphosphoric",,,,
2012,Austria,"Phosphoric Acid, Wet Process",,,,
2012,Austria,Potassium Muriate,,,,
2012,Austria,Potassium Nitrate,,,,
2012,Austria,Potassium Sulfate,,,,
2012,Austria,Potassium-Sodium Nitrate,,,,
2012,Austria,Sodium Nitrate,2.2046,6883,,
2012,Austria,Sulfur,,,,
2012,Austria,Urea (Solid),,,,
2012,Azerbaijan,Total,,,,
2012,Azerbaijan,Ammonium Nitrate (Solid),,,,
2012,Azerbaijan,Ammonium Sulfate,,,,
2012,Azerbaijan,Anhydrous Ammonia,,,,
2012,Azerbaijan,Aqua Ammonia,,,,
2012,Azerbaijan,Calcium Cyanamide,,,,
2012,Azerbaijan,Calcium Nitrate,,,,
2012,Azerbaijan,Chemical Mixtures,,,,
2012,Azerbaijan,Concentrated Super,,,,
2012,Azerbaijan,Diammonium Phosphate (DAP),,,,
2012,Azerbaijan,Monammonium Phosphate (MAP),,,,
2012,Azerbaijan,Nitrogen Solutions,,,,
2012,Azerbaijan,Normal Super,,,,
2012,Azerbaijan,Other Nitrogen Fertilizers,,,,
2012,Azerbaijan,Other Phosphate Fertilizers,,,,
2012,Azerbaijan,Other Potassium Fertilizers,,,,
2012,Azerbaijan,Phosphate Rock,,,,
2012,Azerbaijan,"Phosphoric Acid, Superphosphoric",,,,
2012,Azerbaijan,"Phosphoric Acid, Wet Process",,,,
2012,Azerbaijan,Potassium Muriate,,,,
2012,Azerbaijan,Potassium Nitrate,,,,
2012,Azerbaijan,Potassium Sulfate,,,,
2012,Azerbaijan,Potassium-Sodium Nitrate,,,,
2012,Azerbaijan,Sodium Nitrate,,,,
2012,Azerbaijan,Sulfur,,,,
2012,Azerbaijan,Urea (Solid),,,,
2012,Bahamas,Total,628.3110000000001,448748,,
2012,Bahamas,Ammonium Nitrate (Solid),396.828,240926,,
2012,Bahamas,Ammonium Sulfate,7.716100000000001,4384,,
2012,Bahamas,Anhydrous Ammonia,13.227599999999999,5910,,
2012,Bahamas,Aqua Ammonia,,,,
2012,Bahamas,Calcium Cyanamide,,,,
2012,Bahamas,Calcium Nitrate,,,,
2012,Bahamas,Chemical Mixtures,88.184,70701,,
2012,Bahamas,Concentrated Super,,,,
2012,Bahamas,Diammonium Phosphate (DAP),,,,
2012,Bahamas,Monammonium Phosphate (MAP),7.716100000000001,16348,,
2012,Bahamas,Nitrogen Solutions,,,,
2012,Bahamas,Normal Super,,,,
2012,Bahamas,Other Nitrogen Fertilizers,67.2403,42720,,
2012,Bahamas,Other Phosphate Fertilizers,,,,
2012,Bahamas,Other Potassium Fertilizers,,,,
2012,Bahamas,Phosphate Rock,,,,
2012,Bahamas,"Phosphoric Acid, Superphosphoric",24.250600000000002,25955,,
2012,Bahamas,"Phosphoric Acid, Wet Process",,,,
2012,Bahamas,Potassium Muriate,,,,
2012,Bahamas,Potassium Nitrate,3.3069,3898,,
2012,Bahamas,Potassium Sulfate,14.3299,33476,,
2012,Bahamas,Potassium-Sodium Nitrate,,,,
2012,Bahamas,Sodium Nitrate,,,,
2012,Bahamas,Sulfur,,,,
2012,Bahamas,Urea (Solid),5.5115,4430,,
2012,Bahrain,Total,40.7851,10858,420270.6141,164373032
2012,Bahrain,Ammonium Nitrate (Solid),,,,
2012,Bahrain,Ammonium Sulfate,,,,
2012,Bahrain,Anhydrous Ammonia,,,,
2012,Bahrain,Aqua Ammonia,,,,
2012,Bahrain,Calcium Cyanamide,,,,
2012,Bahrain,Calcium Nitrate,,,,
2012,Bahrain,Chemical Mixtures,,,,
2012,Bahrain,Concentrated Super,,,,
2012,Bahrain,Diammonium Phosphate (DAP),,,,
2012,Bahrain,Monammonium Phosphate (MAP),,,,
2012,Bahrain,Nitrogen Solutions,,,,
2012,Bahrain,Normal Super,,,,
2012,Bahrain,Other Nitrogen Fertilizers,,,,
2012,Bahrain,Other Phosphate Fertilizers,,,,
2012,Bahrain,Other Potassium Fertilizers,,,,
2012,Bahrain,Phosphate Rock,,,,
2012,Bahrain,"Phosphoric Acid, Superphosphoric",,,,
2012,Bahrain,"Phosphoric Acid, Wet Process",40.7851,10858,,
2012,Bahrain,Potassium Muriate,,,,
2012,Bahrain,Potassium Nitrate,,,,
2012,Bahrain,Potassium Sulfate,,,,
2012,Bahrain,Potassium-Sodium Nitrate,,,,
2012,Bahrain,Sodium Nitrate,,,,
2012,Bahrain,Sulfur,,,,
2012,Bahrain,Urea (Solid),,,420270.6141,164373032
2012,Bangladesh,Total,,,,
2012,Bangladesh,Ammonium Nitrate (Solid),,,,
2012,Bangladesh,Ammonium Sulfate,,,,
2012,Bangladesh,Anhydrous Ammonia,,,,
2012,Bangladesh,Aqua Ammonia,,,,
2012,Bangladesh,Calcium Cyanamide,,,,
2012,Bangladesh,Calcium Nitrate,,,,
2012,Bangladesh,Chemical Mixtures,,,,
2012,Bangladesh,Concentrated Super,,,,
2012,Bangladesh,Diammonium Phosphate (DAP),,,,
2012,Bangladesh,Monammonium Phosphate (MAP),,,,
2012,Bangladesh,Nitrogen Solutions,,,,
2012,Bangladesh,Normal Super,,,,
2012,Bangladesh,Other Nitrogen Fertilizers,,,,
2012,Bangladesh,Other Phosphate Fertilizers,,,,
2012,Bangladesh,Other Potassium Fertilizers,,,,
2012,Bangladesh,Phosphate Rock,,,,
2012,Bangladesh,"Phosphoric Acid, Superphosphoric",,,,
2012,Bangladesh,"Phosphoric Acid, Wet Process",,,,
2012,Bangladesh,Potassium Muriate,,,,
2012,Bangladesh,Potassium Nitrate,,,,
2012,Bangladesh,Potassium Sulfate,,,,
2012,Bangladesh,Potassium-Sodium Nitrate,,,,
2012,Bangladesh,Sodium Nitrate,,,,
2012,Bangladesh,Sulfur,,,,
2012,Bangladesh,Urea (Solid),,,,
2012,Barbados,Total,300.9279,182242,,
2012,Barbados,Ammonium Nitrate (Solid),,,,
2012,Barbados,Ammonium Sulfate,9.9207,3700,,
2012,Barbados,Anhydrous Ammonia,,,,
2012,Barbados,Aqua Ammonia,1.1023,3365,,
2012,Barbados,Calcium Cyanamide,,,,
2012,Barbados,Calcium Nitrate,,,,
2012,Barbados,Chemical Mixtures,85.9794,55995,,
2012,Barbados,Concentrated Super,,,,
2012,Barbados,Diammonium Phosphate (DAP),57.3196,5693,,
2012,Barbados,Monammonium Phosphate (MAP),3.3069,5808,,
2012,Barbados,Nitrogen Solutions,,,,
2012,Barbados,Normal Super,,,,
2012,Barbados,Other Nitrogen Fertilizers,,,,
2012,Barbados,Other Phosphate Fertilizers,,,,
2012,Barbados,Other Potassium Fertilizers,,,,
2012,Barbados,Phosphate Rock,,,,
2012,Barbados,"Phosphoric Acid, Superphosphoric",,,,
2012,Barbados,"Phosphoric Acid, Wet Process",17.6368,4847,,
2012,Barbados,Potassium Muriate,,,,
2012,Barbados,Potassium Nitrate,,,,
2012,Barbados,Potassium Sulfate,113.5369,94509,,
2012,Barbados,Potassium-Sodium Nitrate,,,,
2012,Barbados,Sodium Nitrate,,,,
2012,Barbados,Sulfur,,,,
2012,Barbados,Urea (Solid),12.1253,8325,,
2012,Belarus,Total,,,,
2012,Belarus,Ammonium Nitrate (Solid),,,,
2012,Belarus,Ammonium Sulfate,,,,
2012,Belarus,Anhydrous Ammonia,,,,
2012,Belarus,Aqua Ammonia,,,,
2012,Belarus,Calcium Cyanamide,,,,
2012,Belarus,Calcium Nitrate,,,,
2012,Belarus,Chemical Mixtures,,,,
2012,Belarus,Concentrated Super,,,,
2012,Belarus,Diammonium Phosphate (DAP),,,,
2012,Belarus,Monammonium Phosphate (MAP),,,,
2012,Belarus,Nitrogen Solutions,,,,
2012,Belarus,Normal Super,,,,
2012,Belarus,Other Nitrogen Fertilizers,,,,
2012,Belarus,Other Phosphate Fertilizers,,,,
2012,Belarus,Other Potassium Fertilizers,,,,
2012,Belarus,Phosphate Rock,,,,
2012,Belarus,"Phosphoric Acid, Superphosphoric",,,,
2012,Belarus,"Phosphoric Acid, Wet Process",,,,
2012,Belarus,Potassium Muriate,,,,
2012,Belarus,Potassium Nitrate,,,,
2012,Belarus,Potassium Sulfate,,,,
2012,Belarus,Potassium-Sodium Nitrate,,,,
2012,Belarus,Sodium Nitrate,,,,
2012,Belarus,Sulfur,,,,
2012,Belarus,Urea (Solid),,,,
2012,Belgium,Total,1645.7339000000006,1466397,3952.8478,3609022
2012,Belgium,Ammonium Nitrate (Solid),,,,
2012,Belgium,Ammonium Sulfate,316.36010000000005,71944,956.7964000000002,340461
2012,Belgium,Anhydrous Ammonia,759.4847000000002,161071,,
2012,Belgium,Aqua Ammonia,,,,
2012,Belgium,Calcium Cyanamide,,,,
2012,Belgium,Calcium Nitrate,,,7.716100000000001,4090
2012,Belgium,Chemical Mixtures,236.99450000000002,391816,1.1023,2412
2012,Belgium,Concentrated Super,,,57.3196,34220
2012,Belgium,Diammonium Phosphate (DAP),,,1371.2612,1710204
2012,Belgium,Monammonium Phosphate (MAP),,,1056.0034000000003,1350806
2012,Belgium,Nitrogen Solutions,,,,
2012,Belgium,Normal Super,,,,
2012,Belgium,Other Nitrogen Fertilizers,,,,
2012,Belgium,Other Phosphate Fertilizers,,,,
2012,Belgium,Other Potassium Fertilizers,,,,
2012,Belgium,Phosphate Rock,,,,
2012,Belgium,"Phosphoric Acid, Superphosphoric",,,,
2012,Belgium,"Phosphoric Acid, Wet Process",,,,
2012,Belgium,Potassium Muriate,1.1023,3341,,
2012,Belgium,Potassium Nitrate,327.3831,827362,,
2012,Belgium,Potassium Sulfate,,,152.1174,151064
2012,Belgium,Potassium-Sodium Nitrate,,,,
2012,Belgium,Sodium Nitrate,4.4092,10863,350.5314,15765
2012,Belgium,Sulfur,,,,
2012,Belgium,Urea (Solid),,,,
2012,Belize,Total,11180.6289,5798370,,
2012,Belize,Ammonium Nitrate (Solid),,,,
2012,Belize,Ammonium Sulfate,,,,
2012,Belize,Anhydrous Ammonia,1.1023,3300,,
2012,Belize,Aqua Ammonia,,,,
2012,Belize,Calcium Cyanamide,,,,
2012,Belize,Calcium Nitrate,,,,
2012,Belize,Chemical Mixtures,1371.2612,1240715,,
2012,Belize,Concentrated Super,,,,
2012,Belize,Diammonium Phosphate (DAP),6785.7588000000005,3092096,,
2012,Belize,Monammonium Phosphate (MAP),,,,
2012,Belize,Nitrogen Solutions,,,,
2012,Belize,Normal Super,,,,
2012,Belize,Other Nitrogen Fertilizers,,,,
2012,Belize,Other Phosphate Fertilizers,,,,
2012,Belize,Other Potassium Fertilizers,,,,
2012,Belize,Phosphate Rock,,,,
2012,Belize,"Phosphoric Acid, Superphosphoric",,,,
2012,Belize,"Phosphoric Acid, Wet Process",,,,
2012,Belize,Potassium Muriate,2979.5169,1417800,,
2012,Belize,Potassium Nitrate,31.9667,37496,,
2012,Belize,Potassium Sulfate,,,,
2012,Belize,Potassium-Sodium Nitrate,,,,
2012,Belize,Sodium Nitrate,,,,
2012,Belize,Sulfur,,,,
2012,Belize,Urea (Solid),11.023,6963,,
2012,Benin,Total,,,,
2012,Benin,Ammonium Nitrate (Solid),,,,
2012,Benin,Ammonium Sulfate,,,,
2012,Benin,Anhydrous Ammonia,,,,
2012,Benin,Aqua Ammonia,,,,
2012,Benin,Calcium Cyanamide,,,,
2012,Benin,Calcium Nitrate,,,,
2012,Benin,Chemical Mixtures,,,,
2012,Benin,Concentrated Super,,,,
2012,Benin,Diammonium Phosphate (DAP),,,,
2012,Benin,Monammonium Phosphate (MAP),,,,
2012,Benin,Nitrogen Solutions,,,,
2012,Benin,Normal Super,,,,
2012,Benin,Other Nitrogen Fertilizers,,,,
2012,Benin,Other Phosphate Fertilizers,,,,
